1.0.0.63#AU 3.24ms
1.0.0.244#AU 3.83ms
1.0.0.123#AU 3.97ms
1.0.0.182#AU 4.26ms
1.0.0.96#AU 4.32ms
1.0.0.151#AU 4.49ms
1.0.0.1#AU 5.25ms
1.0.0.36#AU 16.54ms
1.0.0.71#AU 40.77ms
1.0.0.32#AU 54.91ms
1.0.0.152#AU 56.09ms
1.0.0.67#AU 81.27ms
1.0.0.153#AU 91.77ms
1.0.0.124#AU 98.10ms
1.0.0.39#AU 107.36ms
1.0.0.62#AU 116.94ms
1.0.0.155#AU 128.80ms
1.0.0.91#AU 131.57ms
1.0.0.125#AU 134.04ms
1.0.0.211#AU 134.17ms
1.0.0.31#AU 142.67ms
1.0.0.73#AU 152.06ms
1.0.0.101#AU 166.75ms
1.0.0.128#AU 170.22ms
1.0.0.38#AU 177.67ms
1.0.0.69#AU 187.57ms
1.0.0.225#AU 205.18ms
1.0.0.130#AU 205.59ms
1.0.0.35#AU 214.13ms
1.0.0.158#AU 223.80ms
1.0.0.241#AU 235.88ms
1.0.0.183#AU 243.24ms
1.0.0.7#AU 246.95ms
1.0.0.34#AU 249.71ms
1.0.0.160#AU 260.65ms
1.0.0.99#AU 265.34ms
1.0.0.65#AU 282.70ms
1.0.0.184#AU 284.17ms
1.0.0.154#AU 296.39ms
1.0.0.100#AU 300.24ms
1.0.0.132#AU 301.93ms
1.0.0.9#AU 306.38ms
1.0.0.215#AU 308.12ms
1.0.0.74#AU 317.34ms
1.0.0.188#AU 327.52ms
1.0.0.126#AU 338.51ms
1.0.0.44#AU 345.80ms
1.0.0.61#AU 352.37ms
1.0.0.195#AU 362.79ms
1.0.0.129#AU 375.66ms
1.0.0.2#AU 383.58ms
1.0.0.64#AU 388.29ms
1.0.0.164#AU 390.79ms
1.0.0.95#AU 394.86ms
1.0.0.181#AU 398.11ms
1.0.0.224#AU 411.52ms
1.0.0.66#AU 422.98ms
1.0.0.93#AU 430.89ms
1.0.0.5#AU 431.38ms
1.0.0.42#AU 447.16ms
1.0.0.243#AU 457.83ms
1.0.0.68#AU 458.87ms
1.0.0.10#AU 466.36ms
1.0.0.127#AU 470.23ms
1.0.0.33#AU 482.53ms
1.0.0.156#AU 486.90ms
1.0.0.81#AU 493.67ms
1.0.0.198#AU 499.52ms
1.0.0.94#AU 535.24ms
1.0.0.12#AU 563.93ms
1.0.0.121#AU 565.49ms
1.0.0.169#AU 581.28ms
1.0.0.37#AU 584.64ms
1.0.0.76#AU 596.73ms
1.0.0.135#AU 600.04ms
