43.228.232.6#JP 20.82ms
43.228.232.14#JP 63.05ms
43.228.232.4#JP 108.36ms
43.228.232.5#JP 153.22ms
43.228.232.3#JP 191.84ms
43.228.232.29#JP 258.87ms
43.228.232.1#JP 322.63ms
43.228.232.8#JP 372.79ms
43.228.232.11#JP 412.75ms
43.228.232.13#JP 462.22ms
43.228.232.9#JP 516.12ms
43.228.232.10#JP 561.31ms
43.228.232.7#JP 606.83ms
43.228.232.30#JP 648.10ms
43.228.232.23#JP 694.10ms
43.228.232.20#JP 738.48ms
43.228.232.25#JP 785.00ms
43.228.232.12#JP 831.20ms
43.228.232.15#JP 870.99ms
43.228.232.21#JP 911.63ms
43.228.232.19#JP 963.34ms
43.228.232.16#JP 1006.97ms
43.228.232.18#JP 1064.83ms
43.228.232.27#JP 1113.85ms
43.228.232.17#JP 1154.02ms
43.228.232.24#JP 1193.01ms
43.228.232.22#JP 1244.74ms
43.228.232.28#JP 1287.30ms
43.228.232.2#JP 1326.22ms
43.228.232.26#JP 1366.40ms
