45.148.100.67#KH 19.57ms
45.148.100.185#KH 20.54ms
45.148.100.254#KH 56.96ms
45.148.100.46#KH 57.97ms
45.148.100.68#KH 62.64ms
45.148.100.38#KH 96.42ms
45.148.100.73#KH 108.10ms
45.148.100.248#KH 132.95ms
45.148.100.47#KH 135.14ms
45.148.100.79#KH 148.84ms
45.148.100.76#KH 188.70ms
45.148.100.81#KH 226.09ms
45.148.100.251#KH 250.95ms
45.148.100.77#KH 273.85ms
45.148.100.246#KH 290.22ms
45.148.100.78#KH 311.90ms
45.148.100.43#KH 315.28ms
45.148.100.80#KH 349.91ms
45.148.100.253#KH 369.17ms
45.148.100.83#KH 391.94ms
45.148.100.52#KH 401.00ms
45.148.100.87#KH 430.64ms
45.148.100.33#KH 463.62ms
45.148.100.92#KH 469.05ms
45.148.100.61#KH 483.38ms
45.148.100.105#KH 507.44ms
45.148.100.66#KH 507.75ms
45.148.100.93#KH 545.10ms
45.148.100.120#KH 545.39ms
45.148.100.45#KH 562.56ms
45.148.100.30#KH 581.49ms
45.148.100.74#KH 585.58ms
45.148.100.59#KH 607.76ms
45.148.100.22#KH 620.30ms
45.148.100.89#KH 623.37ms
45.148.100.119#KH 626.44ms
45.148.100.60#KH 645.65ms
45.148.100.10#KH 659.01ms
45.148.100.88#KH 663.04ms
45.148.100.63#KH 684.07ms
45.148.100.106#KH 703.11ms
45.148.100.27#KH 705.11ms
45.148.100.91#KH 710.96ms
45.148.100.64#KH 721.92ms
45.148.100.90#KH 753.06ms
45.148.100.62#KH 762.18ms
45.148.100.121#KH 788.45ms
45.148.100.94#KH 797.02ms
45.148.100.50#KH 800.45ms
45.148.100.28#KH 821.16ms
45.148.100.71#KH 835.98ms
45.148.100.57#KH 837.53ms
45.148.100.116#KH 867.65ms
45.148.100.72#KH 873.40ms
45.148.100.49#KH 875.33ms
45.148.100.16#KH 917.08ms
45.148.100.48#KH 919.38ms
45.148.100.65#KH 937.61ms
45.148.100.114#KH 953.59ms
45.148.100.58#KH 957.68ms
45.148.100.70#KH 974.33ms
45.148.100.54#KH 996.39ms
45.148.100.69#KH 1012.55ms
45.148.100.35#KH 1036.87ms
45.148.100.75#KH 1056.58ms
45.148.100.53#KH 1082.53ms
45.148.100.84#KH 1094.77ms
45.148.100.44#KH 1126.37ms
45.148.100.110#KH 1148.47ms
45.148.100.36#KH 1165.18ms
45.148.100.86#KH 1176.02ms
45.148.100.97#KH 1187.00ms
45.148.100.41#KH 1205.88ms
45.148.100.85#KH 1229.96ms
45.148.100.168#KH 39347.60ms
45.148.100.170#KH 41221.30ms
45.148.100.171#KH 41265.35ms
45.148.100.172#KH 41303.83ms
45.148.100.174#KH 41385.14ms
45.148.100.175#KH 41423.04ms
45.148.100.176#KH 41461.61ms
45.148.100.177#KH 41499.16ms
45.148.100.179#KH 41575.80ms
45.148.100.180#KH 41616.69ms
45.148.100.181#KH 41654.83ms
45.148.100.182#KH 41698.16ms
45.148.100.183#KH 41735.34ms
45.148.100.184#KH 41775.59ms
