45.86.46.105#RU 18.82ms
45.86.46.45#RU 18.96ms
45.86.46.76#RU 19.19ms
45.86.46.106#RU 57.43ms
45.86.46.167#RU 58.14ms
45.86.46.46#RU 95.62ms
45.86.46.138#RU 96.02ms
45.86.46.109#RU 96.76ms
45.86.46.48#RU 133.30ms
45.86.46.169#RU 135.61ms
45.86.46.108#RU 136.37ms
45.86.46.50#RU 169.91ms
45.86.46.146#RU 172.74ms
45.86.46.176#RU 173.02ms
45.86.46.113#RU 177.62ms
45.86.46.51#RU 207.50ms
45.86.46.145#RU 211.04ms
45.86.46.110#RU 216.34ms
45.86.46.175#RU 217.77ms
45.86.46.116#RU 253.22ms
45.86.46.166#RU 255.74ms
45.86.46.58#RU 281.66ms
45.86.46.149#RU 286.74ms
45.86.46.114#RU 291.02ms
45.86.46.135#RU 325.25ms
45.86.46.112#RU 332.60ms
45.86.46.171#RU 333.03ms
45.86.46.107#RU 390.57ms
45.86.46.47#RU 418.62ms
45.86.46.119#RU 427.68ms
45.86.46.137#RU 438.37ms
45.86.46.177#RU 466.34ms
45.86.46.120#RU 466.54ms
45.86.46.182#RU 504.09ms
45.86.46.117#RU 504.28ms
45.86.46.144#RU 514.87ms
45.86.46.115#RU 541.76ms
45.86.46.122#RU 578.67ms
45.86.46.183#RU 578.87ms
45.86.46.184#RU 615.78ms
45.86.46.121#RU 616.12ms
45.86.46.30#RU 625.10ms
45.86.46.155#RU 627.33ms
45.86.46.172#RU 653.50ms
45.86.46.124#RU 653.91ms
45.86.46.154#RU 665.54ms
45.86.46.36#RU 666.24ms
45.86.46.126#RU 691.58ms
45.86.46.240#RU 699.72ms
45.86.46.153#RU 703.67ms
45.86.46.130#RU 765.82ms
45.86.46.244#RU 775.98ms
45.86.46.125#RU 804.05ms
45.86.46.236#RU 813.19ms
45.86.46.37#RU 825.64ms
45.86.46.123#RU 841.62ms
45.86.46.254#RU 850.97ms
45.86.46.127#RU 878.99ms
45.86.46.250#RU 889.02ms
45.86.46.41#RU 900.32ms
45.86.46.118#RU 916.64ms
45.86.46.111#RU 953.75ms
45.86.46.251#RU 963.70ms
45.86.46.44#RU 976.41ms
45.86.46.131#RU 989.48ms
45.86.46.253#RU 1001.58ms
45.86.46.162#RU 1003.78ms
45.86.46.42#RU 1013.57ms
45.86.46.129#RU 1026.96ms
45.86.46.247#RU 1039.66ms
45.86.46.164#RU 1041.36ms
45.86.46.17#RU 1051.60ms
45.86.46.248#RU 1077.50ms
45.86.46.163#RU 1117.39ms
45.86.46.134#RU 1140.76ms
45.86.46.75#RU 1868.07ms
45.86.46.80#RU 1964.74ms
45.86.46.88#RU 2158.50ms
45.86.46.84#RU 2196.71ms
45.86.46.94#RU 2235.18ms
45.86.46.92#RU 2348.40ms
45.86.46.90#RU 2448.57ms
45.86.46.77#RU 2486.25ms
45.86.46.95#RU 2561.36ms
45.86.46.96#RU 2599.30ms
45.86.46.97#RU 2712.16ms
45.86.46.85#RU 2752.23ms
45.86.46.101#RU 2790.28ms
45.86.46.102#RU 2828.70ms
45.86.46.103#RU 2867.09ms
45.86.46.99#RU 2905.91ms
45.86.46.100#RU 2944.46ms
45.86.46.104#RU 2982.67ms
45.86.46.61#RU 9525.22ms
45.86.46.60#RU 42826.43ms
