43.159.95.244#SG 7.30ms
43.159.104.121#SG 20.75ms
43.174.227.54#SG 46.11ms
43.174.243.27#SG 214.86ms
8.219.236.218#SG 222.24ms
8.222.227.160#SG 224.66ms
43.174.245.68#SG 229.31ms
43.174.242.203#SG 242.72ms
8.219.254.1#SG 249.09ms
8.222.213.251#SG 251.64ms
43.174.245.80#SG 255.93ms
8.222.219.140#SG 265.10ms
8.219.189.155#SG 274.62ms
8.222.168.190#SG 278.30ms
43.174.244.104#SG 281.21ms
8.219.255.49#SG 287.24ms
3.165.100.193#SG 289.10ms
8.219.245.214#SG 300.77ms
8.219.97.248#SG 315.03ms
43.174.245.162#SG 316.73ms
8.219.243.132#SG 326.03ms
43.174.244.80#SG 329.84ms
8.219.228.81#SG 339.35ms
8.219.63.79#SG 340.14ms
8.219.102.208#SG 353.06ms
13.35.224.97#SG 355.35ms
8.219.184.202#SG 364.62ms
8.222.255.80#SG 369.05ms
8.219.77.141#SG 371.94ms
47.74.155.26#SG 393.27ms
47.74.157.194#SG 407.19ms
13.35.224.167#SG 421.50ms
